RI,IFR,ICC,IANC
0,1.3,442.42,21.82
0,1.32,417.3,21.42
0,1.32,443.64,21.32
0,1.3,480.63,22.58
0,1.48,499.19,24.13
0,1.75,525.84,29.85
0,1.48,425.46,29.11
0,1.3,362.18,46.95
0,1.31,418.49,51.77
0,1.31,453.02,56.88
0,1.3,454.02,57.96
0,1.29,466.18,28.54
0,1.29,476.07,21.43
0,1.28,479.6,27.59
0,1.27,488.77,29.16
0,1.27,491.15,17.99
0,1.26,490.96,15.33
0,1.26,482.03,14.25
0,1.6,568.64,11.04
0,1.7,576.95,9.76
0,1.71,491.98,9.66
0,1.27,344.52,11.68
0,1.26,374.65,12.87
0,1.27,262.7,16.9
0,1.29,245.39,16.52
0,1.31,244.47,15.77
0,1.3,261.95,15.58
0,1.34,232.95,13.57
0,1.34,213.67,13.04
0,1.35,208.91,14.59
0,1.35,208.08,19.42
0,1.35,219.22,21.46
0,1.35,215.46,21.35
0,1.62,319.19,19.65
0,1.76,376.01,19.11
0,1.35,306.04,21.45
0,1.34,302.59,21.94
0,1.34,306.66,23.44
0,1.33,310.28,23.81
0,1.32,348.96,24.32
0,1.33,352.76,24.44
0,1.33,269.62,23.58
0,1.61,274.86,23.37
0,1.75,346.24,20.41
0,1.29,377.89,19.37
0,0.96,346.32,19.66
0,1.28,295.62,19.46
0,1.31,320.3,18.87
0,1.31,332.39,18.72
0,1.31,301.07,17.59
0,1.31,328.46,17.32
0,1.71,355.87,16.26
0,1.81,337.83,16.06
0,1.62,246.51,18.41
0,1.34,220.48,19.14
0,1.33,232.9,20.02
0,0.98,236.27,20.15
0,0.99,422.24,19.98
0,0.99,493.03,19.93
0,1.29,415.74,21.85
0,1.36,389.33,22.4
0,1.35,276.52,23.57
0,1.34,231.67,23.86
0,1.33,292.18,24.63
0,1.32,321.42,24.82
0,1.3,367.38,23.73
0,1.61,453.83,22.83
0,1.75,418.73,21.32
0,1.4,451.16,20.5
0,1.39,401.22,20.56
0,1.11,353.41,20.5
0,0.94,370.25,18.97
0,1.24,324.37,18.91
0,1.33,290.7,17.84
0,1.5,311.25,17.44
0,1.81,320.4,17.72
0,1.77,314.73,17.83
0,1.44,322.39,18.88
0,1.21,295.16,19.38
0,0.97,317.32,20.39
0,0.97,332.76,20.55
0,1.4,431.14,19.91
0,1.45,458.72,19.85
0,1.4,347.81,22.82
0,1.35,309.33,23.59
0,1.34,281.54,24.3
0,1.33,268.8,24.47
0,1.32,283.68,24.72
0,1.3,290.91,24.77
0,1.28,353.54,23.27
0,1.32,453.92,22.58
0,1.38,504.32,20.73
0,1.37,471.36,20.41
0,1.38,403.27,20.53
0,1.38,385.25,20.56
0,1.34,306.32,19.78
0,1.25,240.77,19.8
0,1.25,241.85,16.93
0,1.26,258.63,16.24
0,1.3,268.11,17.65
0,1.36,312.41,18.16
0,1.43,320.88,20.67
0,1.43,299.32,21.21
0,1.44,351.08,21.31
0,1.29,354.37,21.36
0,0.96,299.55,21.34
0,0.96,303.45,21.32
0,1.29,341.06,22.91
0,1.34,351.55,23.33
0,1.33,315.57,23.86
0,1.32,293.84,23.99
0,1.31,296.99,15.53
0,1.3,301.2,13.49
0,1.29,338.72,12.12
0,1.48,458.88,15.68
0,1.39,496.05,18.1
0,1.38,482.87,18.17
0,1.37,421.88,22.67
0,1.36,404.86,23.5
0,1.34,412.44,21.35
0,1.26,333.54,20.54
0,1.3,299.99,19.12
0,1.32,296.22,18.76
0,1.31,224.09,20.62
0,1.33,239.75,21.63
0,1.43,339.05,23.37
0,1.44,374.46,23.75
0,0.95,314.29,24.51
0,0.94,305.48,24.7
0,1.15,394.44,23.87
0,1.48,444.62,23.33
0,1.33,331.2,26.23
0,1.33,316.61,26.4
0,1.32,260.93,27.16
0,1.32,239.29,27.35
0,1.31,265.89,27.1
0,1.29,276.78,27.04
0,1.29,301.57,25.95
0,1.33,406.48,25.39
0,1.42,461.14,23.51
0,1.42,469.53,23.06
0,0.94,330.33,21.68
0,0.92,306.17,21.33
0,1.06,358.8,18.99
0,1.79,390.27,18.41
0,1.67,316.05,17.46
0,1.31,255.01,17.27
0,1.31,232.29,18.44
0,1.09,234.79,18.68
0,0.94,351.91,19.99
0,1.03,419.71,20.22
0,1.46,455.28,20.37
0,1.46,439.86,20.5
0,1.15,363.11,21.81
0,0.96,330.91,22.42
0,0.96,428.06,23.4
0,1.33,387.93,24.34
0,1.33,317.01,25.07
0,1.32,281.76,25.25
0,1.32,274.64,25.13
0,1.31,274.32,25.1
0,0.96,327.85,23.94
0,1.34,391.02,23.72
0,1.45,434.82,22.06
